mov, mov
push, push
sub, sub
add, add
call, call
lea, lea
cmp, cmp
pop, pop
xor, xor
je, jmp
jmp, jmp
test, test
fstp, mov
ret, ret
fld, lea
jge, jmp
sal, sa
sar, sa
imul, mul
jle, jmp
jne, jmp
jg, jmp
and, and
movzx, mov
shr, sa
idiv, div
jl, jmp
sete, set
setb, set
fild, lea
js, jmp
div, div
fldcw, lea
setne, set
jnb, jmp
neg, neg
faddp, add
jns, jmp
fadd, add
fsub, sub
setg, set
ja, jmp
fnstcw, mov
fistp, mov
fmul, mul
mul, mul
setl, set
fsubrp, sub
bsr, bs
setle, set
fdivp, div
fmulp, mul
fxch, pop
fucomi, cmp
setnp, set
fucomip, cmp
cmovne, mov
fdivr, div
jae, jmp
fsubp, sub
shl, sa
cmove, mov
inc, inc
dec, dec
movs, mov
stos, mov
stosd, mov
